User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,cloudtrail.amazonaws.com,CreateTrail,us-east-2,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:731647974018:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-731647974018-95513853""}]",212eb6cd-5485-468f-bb27-5aedec8e58f4,2ba90f08-e024-45de-b83a-ec6a5bcabbc2,false,AwsApiCall,731647974018,Management
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-2,71.227.159.138,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.964 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-731647974018-95513853""}]",ZAMN7QC2X08Y2TPC,4831972d-eba3-4119-be59-9e9ffea60dcb,false,AwsApiCall,731647974018,Management
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,71.227.159.138,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.964 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-731647974018-95513853""}]",ZAMTGPVZ6GXYFZK3,c9d9da7a-d5a1-4fb4-b29e-8a10f8fd79e9,false,AwsApiCall,731647974018,Management
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,s3.amazonaws.com,CreateBucket,us-east-2,71.227.159.138,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.964 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-731647974018-95513853""}]",H285NREVG0EFAZ2M,ec8eb366-252d-427b-864f-375022803e9b,false,AwsApiCall,731647974018,Management
CloudTrail,ASIA2UWM6DKBP5AEC7WE,2021-03-12T08:18:51Z,cloudtrail.amazonaws.com,StartLogging,us-east-2,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",7aabc6cd-9303-450c-9a92-c7e1e03a0abe,f7f03c22-adaf-4eaf-ac99-670d9f3bb7ad,false,AwsApiCall,731647974018,Management
CloudTrail,ASIA2UWM6DKBFIIJDMCP,2021-03-12T08:16:43Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],0b391ba1-e756-4661-aec9-af7f92a95034,5f13820c-b33e-4fe2-b739-ae0d55661664,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T08:12:51Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",8e6b6937-6b4e-4399-b1e0-5f0fed0623ff,6d1784e7-9d95-4946-a50f-b9bcb73b0c0d,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T08:12:50Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",afe28dbc-9cd3-4852-a32d-ed97f6a83611,48afcae6-9120-454d-a98d-4f0fc1d33769,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T08:12:50Z,iam.amazonaws.com,AddUserToGroup,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",a7200a6a-b4a8-484c-9e0f-291ce4cdb88d,79f00882-4af9-4116-8ff2-29dc7caf550e,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T08:12:50Z,iam.amazonaws.com,CreateUser,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::731647974018:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2UWM6DKBLMUS64BY6""}]",c3aa9989-b72e-4753-a00a-3987418e6e28,cc955c95-3612-410e-8756-59edb114c459,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T07:56:25Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",297eda8a-51e2-437e-9cbd-6da87bfc32d5,31fdab11-52a8-4a1a-982c-e1da29d70d08,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T07:56:25Z,iam.amazonaws.com,CreateGroup,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA2UWM6DKBIZM775M3U""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::731647974018:group/Reviewers""}]",11d1eccf-c0bb-463d-93b6-324be96f1a2b,ed4f5bc4-9cd9-45b5-8c13-e381a1e748ae,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T07:56:05Z,iam.amazonaws.com,CreateGroup,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::731647974018:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA2UWM6DKBCKH3OG77I""}]",ecee93f8-0019-44cb-b132-138ced6b5981,0d5b7229-690b-409c-8370-5a7b75782cf3,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T07:56:05Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",e1a734ea-3b8c-4a73-9028-ae2962574a04,bd267ba3-aac8-4ec3-886e-edb734f0c00d,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T07:56:05Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",4ba042ec-0b44-48da-a237-a0500a340dee,d818ae79-d4d9-40af-ad2a-a0fa6cc9b9fa,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBIWGU25WG,2021-03-12T07:54:02Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,71.227.159.138,console.amazonaws.com,,[],4694a8e7-f896-451b-bf6c-92b43f67eb6d,cfdf2f4f-d9d2-4535-9f54-9cd6b53db51f,false,AwsApiCall,731647974018,Management
root,,2021-03-12T07:43:59Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.227.159.138,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",,[],,8d7bec42-3c45-430e-9fad-4f0ad795b2d4,false,AwsConsoleSignIn,731647974018,Management
root,,2021-03-11T03:41:08Z,signin.amazonaws.com,ConsoleLogin,us-east-1,73.109.61.51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",,[],,66c15b66-a34b-4433-a6f2-cb631f78b80c,false,AwsConsoleSignIn,731647974018,Management
root,ASIA2UWM6DKBKLEXKHEH,2021-03-09T04:18:22Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Administrator""}]",c71fdc11-d24c-4bdc-86f1-fff93088519e,4fdb7859-fbfc-4f12-86d3-2ec782b49015,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBKLEXKHEH,2021-03-09T04:18:21Z,iam.amazonaws.com,AddUserToGroup,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Administrator""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Administrators""}]",8386710f-3030-45d5-8a43-38661d6ae73c,ab75f757-9940-478e-a8ee-732ceb4b0fd9,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBKLEXKHEH,2021-03-09T04:18:20Z,iam.amazonaws.com,CreateUser,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::731647974018:user/Administrator""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Administrator""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2UWM6DKBG232W5T3R""}]",27bcf04e-8e16-4eed-addd-8931646d2087,718998e9-4ab4-4fda-ab60-f271283584ed,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBKLEXKHEH,2021-03-09T04:17:29Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Administrators""}]",96aabe6e-e6f5-49ab-9f0f-ba427652b3dd,5f884895-52fe-4d3d-a00f-60d2f8d01c2e,false,AwsApiCall,731647974018,Management
root,ASIA2UWM6DKBKLEXKHEH,2021-03-09T04:17:28Z,iam.amazonaws.com,CreateGroup,us-east-1,71.227.159.138,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Administrators""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::731647974018:group/Administrators""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA2UWM6DKBG2YLUEFRO""}]",fd6ed0a5-face-4418-b796-131c9063b59c,ecde1b7b-b96b-4e5e-a1b1-35914de3bc17,false,AwsApiCall,731647974018,Management
root,,2021-03-09T03:51:13Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.227.159.138,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",,[],,3315677d-1a0e-454d-8b93-7943dff56f50,false,AwsConsoleSignIn,731647974018,Management
root,,2021-03-05T06:35:40Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.227.159.138,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",,[],,4ac3d684-92a8-42ad-a9d3-fc150b08e44a,false,AwsConsoleSignIn,731647974018,Management
root,,2021-03-02T06:40:24Z,signin.amazonaws.com,ConsoleLogin,us-east-1,73.109.60.125,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",,[],,107ffb06-1304-4c4a-8313-d7224bd19af4,false,AwsConsoleSignIn,731647974018,Management
root,,2021-02-28T02:16:47Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.227.159.138,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",,[],,ca4a9878-ffec-48d1-9cfc-aaa4090defa9,false,AwsConsoleSignIn,731647974018,Management
root,,2021-02-25T07:04:31Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.227.159.138,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36",,[],,1e539c2a-21f2-4276-a07e-6faf3b107046,false,AwsConsoleSignIn,731647974018,Management
root,,2021-02-19T04:45:38Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.227.159.138,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,2ce72b59-3d7c-48ec-b36a-cbb1e0d575cc,false,AwsConsoleSignIn,731647974018,Management
root,,2021-02-18T06:26:36Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.227.159.138,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,62c6b821-2ff5-4881-9dfa-aa947ca93d56,false,AwsConsoleSignIn,731647974018,Management
